plate	round	well	tile
1	1	A3	0
1	2	A3	0
1	3	A3	0
1	1	A3	1
1	2	A3	1
1	3	A3	1
1	1	A3	2
1	2	A3	2
1	3	A3	2
1	1	A3	3
1	2	A3	3
1	3	A3	3
1	1	A3	4
1	2	A3	4
1	3	A3	4
1	1	A3	5
1	2	A3	5
1	3	A3	5
1	1	A3	6
1	2	A3	6
1	3	A3	6
1	1	A3	7
1	2	A3	7
1	3	A3	7
1	1	A3	8
1	2	A3	8
1	3	A3	8
1	1	A3	9
1	2	A3	9
1	3	A3	9
1	1	A3	10
1	2	A3	10
1	3	A3	10
1	1	A3	11
1	2	A3	11
1	3	A3	11
1	1	A3	12
1	2	A3	12
1	3	A3	12
1	1	A3	13
1	2	A3	13
1	3	A3	13
1	1	A3	14
1	2	A3	14
1	3	A3	14
1	1	A3	15
1	2	A3	15
1	3	A3	15
1	1	A3	16
1	2	A3	16
1	3	A3	16
1	1	A3	17
1	2	A3	17
1	3	A3	17
1	1	A3	18
1	2	A3	18
1	3	A3	18
1	1	A3	19
1	2	A3	19
1	3	A3	19
1	1	A3	20
1	2	A3	20
1	3	A3	20
1	1	A3	21
1	2	A3	21
1	3	A3	21
1	1	A3	22
1	2	A3	22
1	3	A3	22
1	1	A3	23
1	2	A3	23
1	3	A3	23
1	1	A3	24
1	2	A3	24
1	3	A3	24
1	1	A3	25
1	2	A3	25
1	3	A3	25
1	1	A3	26
1	2	A3	26
1	3	A3	26
1	1	A3	27
1	2	A3	27
1	3	A3	27
1	1	A3	28
1	2	A3	28
1	3	A3	28
1	1	A3	29
1	2	A3	29
1	3	A3	29
1	1	A3	30
1	2	A3	30
1	3	A3	30
1	1	A3	31
1	2	A3	31
1	3	A3	31
1	1	A3	32
1	2	A3	32
1	3	A3	32
1	1	A3	33
1	2	A3	33
1	3	A3	33
1	1	A3	34
1	2	A3	34
1	3	A3	34
1	1	A3	35
1	2	A3	35
1	3	A3	35
1	1	A3	36
1	2	A3	36
1	3	A3	36
1	1	A3	37
1	2	A3	37
1	3	A3	37
1	1	A3	38
1	2	A3	38
1	3	A3	38
1	1	A3	39
1	2	A3	39
1	3	A3	39
1	1	A3	40
1	2	A3	40
1	3	A3	40
1	1	A3	41
1	2	A3	41
1	3	A3	41
1	1	A3	42
1	2	A3	42
1	3	A3	42
1	1	A3	43
1	2	A3	43
1	3	A3	43
1	1	A3	44
1	2	A3	44
1	3	A3	44
1	1	A3	45
1	2	A3	45
1	3	A3	45
1	1	A3	46
1	2	A3	46
1	3	A3	46
1	1	A3	47
1	2	A3	47
1	3	A3	47
1	1	A3	48
1	2	A3	48
1	3	A3	48
1	1	A3	49
1	2	A3	49
1	3	A3	49
1	1	A3	50
1	2	A3	50
1	3	A3	50
1	1	A3	51
1	2	A3	51
1	3	A3	51
1	1	A3	52
1	2	A3	52
1	3	A3	52
1	1	A3	53
